slide_id,patch_id
CHS017-WSI05,"CHS017-WSI05 [d=4,x=114688,y=71680,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=100352,y=75264,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=100352,y=35840,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=121856,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=111104,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=75264,y=68096,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=71680,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=114688,y=25088,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=121856,y=43008,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=68096,y=50176,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=107520,y=50176,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=121856,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=75264,y=35840,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=82432,y=43008,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=82432,y=46592,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=96768,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=78848,y=39424,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=100352,y=78848,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=89600,y=75264,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=78848,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=68096,y=43008,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=78848,y=75264,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=111104,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=68096,y=46592,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=107520,y=35840,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=96768,y=68096,w=4096,h=4096]"
